MOMENTUM	3.68781
NAME	L	K1	Gamma	dB/dx
Q1L	.04	4.0654682628528915	7.285817219852516	1.2493921639033436
Q2L	.04	-3.4964834083706653	7.285817219852516	-1.074532794057735
Q3L	.1	1.7821230561294619	40.8393122674977	1.23932588121041
Q4L	.1	-1.8104708128710665	40.8393122674977	-1.2590395078779364
Q5L	.1	2.3237965765149093	78.00162114811437	3.0872065639121247
Q6L	.1	-2.71806823381098	78.00162114811437	-3.611003724416777
QA.1	.15	1.6090044563327268	78.00162114811437	1.4250613756114447
QA.2	.15	1.6090044563327268	78.00162114811437	1.4250613756114447
Q7L	.1	-1.57954507734945	78.00162114811437	-2.0984547356987724
Q8L	.1	.7817037093213575	78.00162114811437	1.0385077793989368
Q9L	.1	1.2781688696774305	78.00162114811437	1.6980708914608331
Q10L	.1	-.9298862812942948	78.00162114811437	-1.2353710562776383
